date,dengue + lamok,dengue symptoms + dengue sintomas,dengue fever + dengue lagnat,dengue rashes,dengue platelet count,Location
2016-01-10,16,5,2,1,0,QC
2016-01-17,15,5,2,0,0,QC
2016-01-24,12,3,2,0,0,QC
2016-01-31,15,4,3,1,0,QC
2016-02-07,17,5,3,0,0,QC
2016-02-14,11,3,1,0,0,QC
2016-02-21,12,4,3,0,0,QC
2016-02-28,12,2,2,0,0,QC
2016-03-06,11,3,2,0,1,QC
2016-03-13,10,2,2,1,0,QC
2016-03-20,8,2,1,0,0,QC
2016-03-27,9,2,1,0,0,QC
2016-04-03,8,2,1,0,0,QC
2016-04-10,7,2,1,0,0,QC
2016-04-17,7,2,1,0,0,QC
2016-04-24,7,2,1,0,0,QC
2016-05-01,6,2,1,0,0,QC
2016-05-08,5,2,0,0,0,QC
2016-05-15,3,1,0,0,0,QC
2016-05-22,6,2,1,0,0,QC
2016-05-29,6,2,0,0,0,QC
2016-06-05,8,2,1,1,0,QC
2016-06-12,10,3,2,0,0,QC
2016-06-19,11,3,1,0,0,QC
2016-06-26,12,4,2,0,0,QC
2016-07-03,11,3,2,1,0,QC
2016-07-10,14,5,3,1,0,QC
2016-07-17,19,6,2,1,0,QC
2016-07-24,21,7,3,1,1,QC
2016-07-31,20,7,3,1,0,QC
2016-08-07,23,7,3,1,1,QC
2016-08-14,23,9,3,1,1,QC
2016-08-21,26,10,5,1,0,QC
2016-08-28,25,10,3,1,0,QC
2016-09-04,22,7,3,1,1,QC
2016-09-11,23,7,3,1,0,QC
2016-09-18,21,7,3,1,0,QC
2016-09-25,18,7,3,0,0,QC
2016-10-02,14,4,3,1,0,QC
2016-10-09,18,5,2,0,0,QC
2016-10-16,15,5,2,1,1,QC
2016-10-23,15,5,2,1,0,QC
2016-10-30,15,4,3,1,0,QC
2016-11-06,13,3,1,1,0,QC
2016-11-13,14,3,2,1,0,QC
2016-11-20,12,3,1,0,0,QC
2016-11-27,17,4,2,1,0,QC
2016-12-04,14,4,2,1,0,QC
2016-12-11,11,4,1,1,0,QC
2016-12-18,9,3,1,0,0,QC
2016-12-25,11,4,2,1,0,QC
2017-01-01,11,3,1,1,0,QC
2017-01-08,12,3,2,0,0,QC
2017-01-15,11,4,1,1,0,QC
2017-01-22,10,2,1,1,0,QC
2017-01-29,9,3,1,0,0,QC
2017-02-05,9,2,2,0,0,QC
2017-02-12,10,3,2,0,0,QC
2017-02-19,8,2,1,0,0,QC
2017-02-26,9,2,1,0,0,QC
2017-03-05,10,3,2,1,0,QC
2017-03-12,11,3,1,0,0,QC
2017-03-19,7,2,2,0,0,QC
2017-03-26,8,3,1,0,0,QC
2017-04-02,6,2,0,0,0,QC
2017-04-09,6,2,0,1,0,QC
2017-04-16,6,2,0,0,0,QC
2017-04-23,4,1,1,0,0,QC
2017-04-30,5,1,1,0,0,QC
2017-05-07,5,2,0,0,0,QC
2017-05-14,4,1,1,0,0,QC
2017-05-21,5,1,0,0,0,QC
2017-05-28,5,1,1,0,0,QC
2017-06-04,8,2,2,0,0,QC
2017-06-11,8,2,1,0,0,QC
2017-06-18,12,3,2,1,0,QC
2017-06-25,11,3,1,0,0,QC
2017-07-02,11,2,2,0,0,QC
2017-07-09,16,5,2,1,0,QC
2017-07-16,13,5,2,1,0,QC
2017-07-23,15,4,1,0,1,QC
2017-07-30,15,4,2,1,0,QC
2017-08-06,17,5,3,1,1,QC
2017-08-13,19,4,2,1,1,QC
2017-08-20,20,4,3,1,0,QC
2017-08-27,17,5,3,0,1,QC
2017-09-03,18,5,3,1,0,QC
2017-09-10,15,3,2,1,0,QC
2017-09-17,15,3,3,1,0,QC
2017-09-24,15,4,2,0,0,QC
2017-10-01,14,4,1,1,0,QC
2017-10-08,13,3,3,0,1,QC
2017-10-15,15,4,3,1,0,QC
2017-10-22,15,4,2,1,0,QC
2017-10-29,13,4,2,1,0,QC
2017-11-05,15,5,3,1,0,QC
2017-11-12,12,3,2,1,0,QC
2017-11-19,11,3,2,0,0,QC
2017-11-26,24,4,2,1,1,QC
2017-12-03,41,5,3,1,0,QC
2017-12-10,26,5,2,1,0,QC
2017-12-17,12,4,1,1,0,QC
2017-12-24,10,4,1,0,0,QC
2017-12-31,15,5,1,1,0,QC
2018-01-07,18,4,3,1,0,QC
2018-01-14,15,3,2,1,0,QC
2018-01-21,16,3,2,1,0,QC
2018-01-28,16,4,1,0,0,QC
2018-02-04,16,3,2,1,0,QC
2018-02-11,13,3,2,0,0,QC
2018-02-18,13,3,2,0,0,QC
2018-02-25,13,3,2,1,1,QC
2018-03-04,10,2,1,0,0,QC
2018-03-11,10,3,2,1,0,QC
2018-03-18,9,3,3,0,0,QC
2018-03-25,6,2,1,1,0,QC
2018-04-01,6,2,1,1,0,QC
2018-04-08,6,1,1,1,0,QC
2018-04-15,6,1,1,0,0,QC
2018-04-22,5,1,1,0,0,QC
2018-04-29,5,1,1,0,0,QC
2018-05-06,6,2,1,0,0,QC
2018-05-13,5,2,1,0,0,QC
2018-05-20,5,1,1,0,0,QC
2018-05-27,6,1,1,1,0,QC
2018-06-03,9,3,2,0,0,QC
2018-06-10,8,2,1,0,0,QC
2018-06-17,7,3,1,0,0,QC
2018-06-24,10,3,1,1,0,QC
2018-07-01,11,3,2,0,0,QC
2018-07-08,18,5,2,1,0,QC
2018-07-15,20,7,3,1,0,QC
2018-07-22,19,6,1,1,1,QC
2018-07-29,22,8,3,1,1,QC
2018-08-05,22,6,2,2,0,QC
2018-08-12,19,5,3,0,1,QC
2018-08-19,19,5,3,0,1,QC
2018-08-26,19,5,4,1,1,QC
2018-09-02,19,4,2,1,0,QC
2018-09-09,14,3,1,1,0,QC
2018-09-16,19,4,3,1,1,QC
2018-09-23,19,4,2,1,1,QC
2018-09-30,19,5,2,1,1,QC
2018-10-07,18,4,3,2,0,QC
2018-10-14,15,3,2,1,0,QC
2018-10-21,16,4,2,1,0,QC
2018-10-28,13,3,3,1,1,QC
2018-11-04,15,3,2,1,0,QC
2018-11-11,17,5,2,1,0,QC
2018-11-18,17,3,2,1,0,QC
2018-11-25,15,4,3,0,0,QC
2018-12-02,14,4,2,1,0,QC
2018-12-09,15,4,2,1,1,QC
2018-12-16,17,6,2,1,1,QC
2018-12-23,17,6,3,1,1,QC
2018-12-30,21,10,3,1,0,QC
2019-01-06,23,9,3,1,1,QC
2019-01-13,22,6,3,1,1,QC
2019-01-20,19,6,3,1,1,QC
2019-01-27,16,6,2,1,1,QC
2019-02-03,16,6,3,1,0,QC
2019-02-10,16,5,2,0,0,QC
2019-02-17,14,3,2,1,1,QC
2019-02-24,12,4,2,1,0,QC
2019-03-03,12,2,2,1,0,QC
2019-03-10,10,3,2,1,0,QC
2019-03-17,10,3,2,1,0,QC
2019-03-24,7,2,1,0,0,QC
2019-03-31,8,2,2,0,0,QC
2019-04-07,9,2,1,0,0,QC
2019-04-14,8,2,1,1,0,QC
2019-04-21,6,1,1,0,0,QC
2019-04-28,7,2,1,0,0,QC
2019-05-05,5,2,1,0,0,QC
2019-05-12,5,2,1,0,0,QC
2019-05-19,6,2,1,0,0,QC
2019-05-26,6,3,1,0,0,QC
2019-06-02,6,2,1,0,0,QC
2019-06-09,8,2,1,0,0,QC
2019-06-16,10,2,1,0,0,QC
2019-06-23,12,3,2,1,0,QC
2019-06-30,15,4,2,1,0,QC
2019-07-07,19,5,3,1,0,QC
2019-07-14,37,8,4,1,1,QC
2019-07-21,41,10,5,3,1,QC
2019-07-28,50,13,6,3,1,QC
2019-08-04,65,20,5,3,1,QC
2019-08-11,67,19,7,4,1,QC
2019-08-18,100,30,9,3,1,QC
2019-08-25,84,30,9,5,2,QC
2019-09-01,89,29,8,4,2,QC
2019-09-08,73,27,8,4,2,QC
2019-09-15,64,22,8,3,2,QC
2019-09-22,62,18,7,3,1,QC
2019-09-29,50,15,5,3,1,QC
2019-10-06,45,12,5,3,1,QC
2019-10-13,35,10,5,2,1,QC
2019-10-20,26,7,5,2,1,QC
2019-10-27,26,8,4,1,1,QC
2019-11-03,21,5,3,1,1,QC
2019-11-10,24,6,3,1,0,QC
2019-11-17,20,6,2,2,0,QC
2019-11-24,18,5,2,0,1,QC
2019-12-01,15,3,2,1,1,QC
2019-12-08,14,3,2,1,0,QC
2019-12-15,17,4,2,1,0,QC
2019-12-22,16,5,2,1,0,QC
2019-12-29,18,7,2,1,1,QC
2020-01-05,18,4,3,1,0,QC
2020-01-12,14,3,2,1,1,QC
2020-01-19,15,4,2,1,1,QC
2020-01-26,17,4,2,1,0,QC
2020-02-02,11,3,2,1,1,QC
2020-02-09,11,3,1,0,1,QC
2020-02-16,10,2,1,1,0,QC
2020-02-23,10,2,1,1,0,QC
2020-03-01,9,2,2,0,0,QC
2020-03-08,11,2,1,0,0,QC
2020-03-15,8,3,1,0,0,QC
2020-03-22,7,2,1,0,0,QC
2020-03-29,6,2,1,0,0,QC
2020-04-05,7,2,1,1,0,QC
2020-04-12,5,1,0,0,0,QC
2020-04-19,4,1,1,0,0,QC
2020-04-26,4,0,0,0,0,QC
2020-05-03,4,1,0,0,0,QC
2020-05-10,5,1,0,0,0,QC
2020-05-17,6,1,1,0,0,QC
2020-05-24,4,1,0,0,0,QC
2020-05-31,6,2,0,0,0,QC
2020-06-07,4,1,0,0,0,QC
2020-06-14,6,1,0,0,0,QC
2020-06-21,5,1,0,0,0,QC
2020-06-28,5,1,0,0,0,QC
2020-07-05,7,2,1,0,0,QC
2020-07-12,7,2,1,0,0,QC
2020-07-19,7,2,1,0,0,QC
2020-07-26,6,1,0,0,0,QC
2020-08-02,7,1,1,0,0,QC
2020-08-09,8,2,1,0,0,QC
2020-08-16,7,2,1,0,0,QC
2020-08-23,7,2,1,0,0,QC
2020-08-30,6,2,1,0,0,QC
2020-09-06,6,1,1,0,0,QC
2020-09-13,6,1,1,0,0,QC
2020-09-20,9,2,1,1,0,QC
2020-09-27,7,1,1,0,0,QC
2020-10-04,7,2,1,0,0,QC
2020-10-11,9,2,1,1,0,QC
2020-10-18,7,1,0,0,0,QC
2020-10-25,8,1,1,0,0,QC
2020-11-01,9,2,2,0,0,QC
2020-11-08,7,2,1,0,0,QC
2020-11-15,7,1,1,0,0,QC
2020-11-22,11,2,2,0,0,QC
2020-11-29,10,2,2,0,0,QC
2020-12-06,10,2,1,0,0,QC
2020-12-13,8,1,1,1,0,QC
2020-12-20,7,1,0,1,1,QC
2020-12-27,8,2,1,0,0,QC
2021-01-03,10,2,1,0,0,QC
2021-01-10,10,3,1,0,0,QC
